folio_recepcion,fecha_recepcion,estado_final_lm,count
2024200651,2024-05-16 15:20:00.000000,3,1
2024200656,2024-05-16 14:13:00.000000,3,1
2024200660,2024-05-16 14:14:00.000000,6,1
2024200662,2024-05-16 16:52:00.000000,4,1
2024200663,2024-05-16 18:06:00.000000,3,1
2024200664,2024-05-16 17:03:00.000000,3,1
2024200665,2024-05-16 17:35:00.000000,6,1
2024200668,2024-05-16 12:16:00.000000,3,1
2024200669,2024-05-16 07:42:00.000000,4,1
2024200672,2024-05-16 17:53:00.000000,3,1
2024200678,2024-05-16 17:08:00.000000,3,1
2024200679,2024-05-16 16:51:00.000000,3,1
2024200684,2024-05-16 17:01:00.000000,3,1
2024200686,2024-05-16 10:51:00.000000,3,1
2024200688,2024-05-16 18:04:00.000000,6,1
2024200689,2024-05-16 18:01:00.000000,3,1
2024200692,2024-05-16 10:21:00.000000,6,1
2024200693,2024-05-16 17:20:00.000000,3,1
2024200694,2024-05-16 17:33:00.000000,3,1
2024200695,2024-05-16 08:49:00.000000,3,1
2024200697,2024-05-16 16:47:00.000000,3,1
2024200698,2024-05-16 17:40:00.000000,3,1
2024200700,2024-05-16 17:00:00.000000,3,1
2024200701,2024-05-16 16:58:00.000000,3,1
2024200703,2024-05-16 17:53:00.000000,3,1
2024200705,2024-05-16 17:19:00.000000,6,1
2024200706,2024-05-16 11:04:00.000000,3,1
2024200707,2024-05-16 12:38:00.000000,3,1
2024200709,2024-05-16 18:06:00.000000,4,1
2024200710,2024-05-16 11:34:00.000000,3,1
2024200711,2024-05-16 18:32:00.000000,3,1
2024200712,2024-05-16 18:03:00.000000,3,1
2024200713,2024-05-16 10:25:00.000000,3,1
2024200715,2024-05-16 20:54:00.000000,6,1
2024200717,2024-05-16 16:59:00.000000,3,1
2024200719,2024-05-16 18:05:00.000000,3,1
2024200723,2024-05-16 18:02:00.000000,6,1
2024200726,2024-05-16 12:32:00.000000,6,1
2024200727,2024-05-16 18:05:00.000000,3,1
2024200730,2024-05-16 16:44:00.000000,3,1
2024200732,2024-05-16 16:46:00.000000,3,1
2024200733,2024-05-16 17:16:00.000000,3,1
2024200736,2024-05-16 10:38:00.000000,3,1
2024200738,2024-05-16 12:14:00.000000,3,1
2024200739,2024-05-16 17:33:00.000000,4,1
2024200740,2024-05-16 19:31:00.000000,3,1
2024200743,2024-05-16 17:56:00.000000,3,1
2024200747,2024-05-16 18:03:00.000000,3,1
2024200749,2024-05-16 18:03:00.000000,3,1
2024200754,2024-05-16 10:54:00.000000,3,1
2024200757,2024-05-16 10:41:00.000000,3,1
2024200758,2024-05-16 17:36:00.000000,3,1
2024200760,2024-05-16 08:00:00.000000,6,1
2024200762,2024-05-16 17:43:00.000000,6,1
2024200763,2024-05-16 20:26:00.000000,6,1
2024200767,2024-05-16 15:51:00.000000,3,1
2024200769,2024-05-16 18:05:00.000000,3,1
