"folio_recepcion","cantidad_items","cantidad_lm","cantidad_ls"
"2024356484",12,28,16
"2023027101",13,28,16
"2024372738",3,28,16
"2024365170",3,28,16
"2024364726",32,28,16
"2024357170",13,28,16
"2023476444",13,28,16
"2023476463",2,28,16
"2023470935",32,28,16
"2023460668",10,28,16
"2024356436",3,28,16
"2024363231",31,28,16
"2024358578",2,28,16
"2024350441",21,28,16
"2024372723",32,28,16
"2024360510",2,28,16
"2023459235",21,28,16
"2024359516",10,28,16
"2024357903",3,28,16
"2024363312",15,28,16
"2024358235",21,28,16
"2024359853",17,28,16
"2024350710",25,28,16
"2024362581",44,28,16
"2024362148",20,28,16
"2024364556",3,28,16
"2023470368",26,28,16
"2023191333",3,28,16
"2024356865",3,28,16
"2023470772",18,28,16
"2024361821",32,28,16
"2024358679",30,28,16
"2024365499",2,28,16
"2024356345",14,28,16
"2023459497",3,28,16
"2023470241",11,28,16
"2023459938",3,28,16
"2024353127",9,28,16
"2024361512",3,28,16
"2024375198",20,28,16
"2024356234",7,28,16
"2024364157",26,28,16
"2023470805",26,28,16
"2024350047",3,28,16
"2023470818",9,28,16
"2024365524",17,28,16
"2024352559",5,28,16
"2023455182",3,28,16
"2024356553",6,28,16
"2024360971",17,28,16
"2024357048",17,28,16
"2023459275",12,28,16
"2024354074",5,28,16
"2024353994",3,28,16
"2024357971",8,28,16
"2024361486",22,28,16
"2024363329",12,28,16
"2024352429",7,28,16
"2024363627",24,28,16
"2023460955",14,28,16
"2024356343",15,28,16
"2023476040",9,28,16
"2024366759",3,28,16
"2024360354",18,28,16
"2024359023",3,28,16
"2023476314",8,28,16
"2024364092",8,28,16
"2024363026",3,28,16
"2023463652",6,28,16
"2024362380",5,28,16
"2024365108",21,28,16
"2023478851",6,28,16
"2024353872",21,28,16
"2024359476",3,28,16
"2024363836",3,28,16
"2023460574",21,28,16
"2024366612",6,28,16
"2023477864",33,28,16
"2023475909",6,28,16
"2024372459",3,28,16
"2024353755",11,28,16
"2023459596",3,28,16
"2024358057",6,28,16
"2024362169",42,28,16
"2024364518",6,28,16
"2024360426",7,28,16
"2024357106",10,28,16
"2024353187",3,28,16
"2024361184",13,28,16
"2023455116",8,28,16
"2024360626",20,28,16
"2023478081",6,28,16
"2024360987",3,28,16
"2023464740",15,28,16
"2023470296",5,28,16
"2024361703",16,28,16
"2024357035",23,28,16
"2024372066",8,28,16
"2024353776",10,28,16
"2024364723",11,28,16
"2024356013",6,28,16
"2023477500",21,28,16
"2024357987",7,28,16
"2024361632",3,28,16
"2024360970",8,28,16
"2023477035",10,28,16
"2024353480",6,28,16
"2024358375",3,28,16
"2023460564",30,28,16
"2024352896",17,28,16
"2023460533",24,28,16
"2024365538",18,28,16
"2023476737",10,28,16
"2024364174",21,28,16
"2024361641",7,28,16
"2024356296",3,28,16
"2023477061",27,28,16
"2024365434",12,28,16
"2024357948",7,28,16
"2024361358",3,28,16
"2024365912",7,28,16
"2024362292",9,28,16
"2023475419",24,28,16
"2024364031",2,28,16
"2023470770",16,28,16
"2023478266",6,28,16
"2024365283",10,28,16
"2024365104",7,28,16
"2024365783",6,28,16
"2024350979",3,28,16
"2024363991",3,28,16
"2024351818",3,28,16
"2023478566",6,28,16
"2024350831",16,28,16
"2023459048",11,28,16
"2023478819",20,28,16
"2023460370",8,28,16
"2024350460",6,28,16
"2024358552",13,28,16
"2024357465",3,28,16
"2024352232",13,28,16
"2023460768",3,28,16
"2023478309",10,28,16
"2023460191",3,28,16
"2024352546",6,28,16
"2024190029",33,28,16
"2024363823",27,28,16
"2024351165",21,28,16
"2023477143",3,28,16
"2023476907",6,28,16
"2024352355",10,28,16
"2023455577",3,28,16
"2024365063",13,28,16
"2023459299",35,28,16
"2024359078",28,28,16
"2024356645",6,28,16
"2024354261",7,28,16
"2024357881",12,28,16
"2023475424",18,28,16
"2024359790",17,28,16
"2023478243",7,28,16
"2024364813",14,28,16
"2023477995",12,28,16
"2024352012",10,28,16
"2024356245",3,28,16
"2024359073",13,28,16
"2024353183",11,28,16
"2023459567",7,28,16
"2023459491",3,28,16
"2024364051",10,28,16
"2024361204",38,28,16
"2024351386",19,28,16
"2023475923",13,28,16
"2024365151",6,28,16
"2023459458",6,28,16
"2023476992",6,28,16
"2023460201",16,28,16
"2024351638",13,28,16
"2024353495",3,28,16
"2024362064",3,28,16
"2024353775",18,28,16
"2024352124",7,28,16
"2024357901",3,28,16
"2023470514",21,28,16
"2024356815",29,28,16
"2024350407",9,28,16
"2024360728",23,28,16
"2024357437",13,28,16
"2024366696",29,28,16
"2024365881",6,28,16
"2024375144",22,28,16
"2024352884",3,28,16
"2024366384",26,28,16
"2024351714",37,28,16
"2024364171",15,28,16
"2024357370",3,28,16
"2023460523",10,28,16
"2023478436",13,28,16
"2024365980",25,28,16
"2023470321",8,28,16
"2024351011",3,28,16
"2023459037",7,28,16
"2024190069",11,28,16
"2024350465",7,28,16
"2023475554",14,28,16
"2024360465",6,28,16
"2023455777",3,28,16
"2023476690",3,28,16
"2024362011",19,28,16
"2024351507",10,28,16
"2024366079",14,28,16
"2024360572",16,28,16
"2024364321",21,28,16
"2024351624",7,28,16
"2024352039",3,28,16
"2024354981",49,28,16
"2024359063",9,28,16
"2023460613",30,28,16
"2023477271",9,28,16
"2023455042",17,28,16
"2023459099",3,28,16
"2024372207",12,28,16
"2024351600",10,28,16
"2024364325",33,28,16
"2024356163",3,28,16
"2023464664",9,28,16
"2024360416",3,28,16
"2023478442",32,28,16
"2024357316",3,28,16
"2023478410",3,28,16
"2024360535",37,28,16
"2023476346",22,28,16
"2024363807",7,28,16
"2023477888",3,28,16
"2023477498",30,28,16
"2024361023",3,28,16
"2024352145",6,28,16
"2024356588",9,28,16
"2024351999",14,28,16
"2023459270",10,28,16
"2024361910",17,28,16
"2024353337",7,28,16
"2024359201",16,28,16
"2024356856",3,28,16
"2023464415",30,28,16
"2024358529",23,28,16
"2023459714",9,28,16
"2024360417",7,28,16
"2024358677",8,28,16
"2024366638",9,28,16
"2024360358",6,28,16
"2023459522",21,28,16
"2024363932",8,28,16
"2023455462",36,28,16
"2024361044",3,28,16
"2024366880",14,28,16
"2023464197",8,28,16
"2024357949",16,28,16
"2023477106",6,28,16
"2024356943",18,28,16
"2023475995",25,28,16
"2023455464",11,28,16
"2024364036",16,28,16
"2023475517",3,28,16
"2024354493",6,28,16
"2024365101",17,28,16
"2023478588",6,28,16
"2023478376",3,28,16
"2023470604",31,28,16
"2024358655",3,28,16
"2023475447",18,28,16
"2024354330",29,28,16
"2024364566",19,28,16
"2024364811",11,28,16
"2024352633",15,28,16
"2024363053",10,28,16
"2024360425",11,28,16
"2024361026",3,28,16
"2024354444",19,28,16
"2024353229",4,28,16
"2024361766",34,28,16
"2024372096",25,28,16
"2024361555",9,28,16
"2024364962",21,28,16
"2023470835",8,28,16
"2024352298",3,28,16
"2023470838",31,28,16
"2024358817",3,28,16
"2024365968",5,28,16
"2024359807",24,28,16
"2023459545",8,28,16
"2024353330",2,28,16
"2024363131",22,28,16
"2024359772",8,28,16
"2023459912",3,28,16
"2024350480",6,28,16
"2024358282",7,28,16
"2024351021",7,28,16
"2024366843",3,28,16
"2023460958",16,28,16
"2023463217",19,28,16
"2024360131",3,28,16
"2023464363",28,28,16
"2023464317",7,28,16
