"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024487700",6,2024-05-03 08:08:00.000,2024-05-06 16:18:29.766
"2024488355",3,2024-05-03 16:51:00.000,2024-05-09 17:20:32.722
"2024222864",3,2024-05-22 10:14:00.000,2024-05-24 20:30:33.229
"2024208833",4,2024-05-14 10:05:00.000,2024-05-15 22:18:28.521
"2024003245",6,2024-05-02 08:34:00.000,2024-05-06 16:16:54.673
"2024150144",6,2024-05-02 08:34:00.000,2024-05-06 16:17:18.240
"2024487174",3,2024-05-02 08:24:00.000,2024-05-03 16:16:12.778
"2024487679",3,2024-05-03 08:21:00.000,2024-05-06 20:17:33.718
"2024490384",3,2024-05-02 08:25:00.000,2024-05-03 16:17:16.259
"2024202327",6,2024-05-27 18:17:00.000,2024-05-31 19:16:33.913
"2024487512",6,2024-05-03 08:09:00.000,2024-05-06 16:17:41.897
"2024487655",3,2024-05-03 08:08:00.000,2024-05-06 16:18:20.303
"2024488498",3,2024-05-03 08:08:00.000,2024-05-06 16:19:51.792
"2024485174",3,2024-05-07 10:01:00.000,2024-05-14 15:19:49.357
"2024201768",3,2024-05-16 17:06:00.000,2024-05-22 18:17:06.029
"2024204353",6,2024-05-09 10:01:00.000,2024-05-14 15:16:33.253
"2024208338",6,2024-05-14 10:20:00.000,2024-05-16 17:29:45.944
"2024484084",3,2024-05-07 09:59:00.000,2024-05-14 15:18:26.347
"2024208354",6,2024-05-14 10:20:00.000,2024-05-16 17:29:54.019
"2024487571",6,2024-05-03 08:06:00.000,2024-05-06 15:16:23.445
"2024490162",3,2024-05-02 08:37:00.000,2024-05-03 17:19:57.899
"2024216095",3,2024-05-28 08:04:00.000,2024-05-30 15:22:30.502
"2024486731",6,2024-05-02 08:44:00.000,2024-05-03 17:16:46.245
"2024484887",6,2024-05-07 00:01:00.000,2024-05-13 19:26:44.781
"2024486946",3,2024-05-02 08:46:00.000,2024-05-03 17:17:09.017
"2024487137",4,2024-05-02 08:44:00.000,2024-05-03 17:17:40.720
"2024202115",6,2024-05-27 00:01:00.000,2024-05-31 00:16:10.081
"2024222692",6,2024-05-22 00:01:00.000,2024-05-28 13:19:15.585
"2024490429",6,2024-05-02 00:01:00.000,2024-05-03 14:18:55.366
"2024496201",6,2024-05-09 19:13:00.000,2024-05-15 18:20:51.501
"2024208784",6,2024-05-14 00:01:00.000,2024-05-15 15:17:15.462
"2024228519",3,2024-05-24 09:07:00.000,2024-05-28 17:29:08.843
"2024483562",3,2024-05-06 15:46:00.000,2024-05-09 15:16:17.110
"2024487553",4,2024-05-03 15:51:00.000,2024-05-09 15:18:26.084
"2024487895",3,2024-05-03 15:57:00.000,2024-05-09 15:21:08.308
"2024488582",3,2024-05-03 15:38:00.000,2024-05-09 15:25:35.756
"2024200514",6,2024-05-16 00:01:00.000,2024-05-17 22:16:10.778
"2024218498",6,2024-05-17 00:01:00.000,2024-05-20 14:19:02.260
"2024487588",4,2024-05-03 08:29:00.000,2024-05-06 21:17:58.203
"2024488060",3,2024-05-03 08:29:00.000,2024-05-06 21:22:36.202
"2024204727",3,2024-05-09 17:35:00.000,2024-05-15 21:18:32.997
"2024496530",4,2024-05-09 18:30:00.000,2024-05-15 21:29:02.668
"2024496912",3,2024-05-14 09:52:00.000,2024-05-15 21:29:52.697
"2024488253",3,2024-05-03 10:45:00.000,2024-05-09 22:27:28.559
"2024208080",6,2024-05-13 00:01:00.000,2024-05-17 22:28:57.207
